Fold,Model,AUC,Brier,Slope,Imputation,Delta,Threshold
3,rf,0.5284210526315789,0.25501443495119425,-0.22809745060538797,1,7,-7
3,xgb,0.47789473684210526,0.24957195907977417,0.004083911329174301,1,7,-7
4,glmnet,0.5887179487179487,0.23529851064294877,0.8196717629361624,1,7,-7
4,rf,0.5497435897435897,0.24390745536724878,0.2843126964290855,1,7,-7
4,xgb,0.558974358974359,0.2488034460575319,0.10572451159573348,1,7,-7
5,glmnet,0.5494736842105263,0.23906535848948632,14.649491130008148,1,7,-7
5,rf,0.511578947368421,0.25317441778273414,-0.05695748314777417,1,7,-7
5,xgb,0.5336842105263158,0.25439591597920325,0.09311130172156702,1,7,-7
1,glmnet,0.5703211517165006,0.21847593586519817,2.3396025072209348,1,7,-10
1,rf,0.5348837209302325,0.22948690226776378,-0.024443525279045,1,7,-10
1,xgb,0.4894795127353267,0.23514445741635104,0.01853514373256644,1,7,-10
2,glmnet,0.5627906976744186,0.23622906101291885,-0.3495573209093146,1,7,-10
2,rf,0.5011627906976744,0.22871828829935617,0.11239848879665496,1,7,-10
2,xgb,0.5488372093023256,0.24119421587843173,-0.11407599351875175,1,7,-10
3,glmnet,0.5,0.2204659265667051,NA,1,7,-10
3,rf,0.5758582502768549,0.22005661075723942,0.3433733233577618,1,7,-10
3,xgb,0.540420819490587,0.23082106979027756,0.1796976174333044,1,7,-10
4,glmnet,0.5575858250276855,0.22619481597242902,-1.0398495228068836,1,7,-10
4,rf,0.5016611295681063,0.2438950086864434,-0.14714380049951056,1,7,-10
4,xgb,0.5359911406423035,0.25246098413523915,-0.11641094668488441,1,7,-10
5,glmnet,0.5725359911406424,0.2141400379203594,0.9547368988273071,1,7,-10
5,rf,0.6190476190476191,0.21262628593247482,0.728554382814149,1,7,-10
5,xgb,0.6212624584717608,0.21467739252972706,0.6695895371858805,1,7,-10
1,glmnet,0.6502463054187192,0.24230978492141322,0.5188448507885461,2,7,0
1,rf,0.6364532019704433,0.2374646625658245,0.7288328491697594,2,7,0
1,xgb,0.6216748768472906,0.24807928604985668,0.420754934326162,2,7,0
2,glmnet,0.7275510204081632,0.21019626462856061,1.2374983267116035,2,7,0
2,rf,0.6510204081632653,0.22587837692394455,1.3198248863772815,2,7,0
2,xgb,0.6846938775510204,0.22032771477213084,1.097239086234167,2,7,0
3,glmnet,0.5773399014778325,0.2567185914838677,0.35417399639791125,2,7,0
