Fold,Model,AUC,Brier,Slope,Imputation,Delta,Threshold
1,glmnet,0.5458333333333333,0.24840589128590618,0.3201429441542732,3,5,0
1,rf,0.4864583333333333,0.24710803811404553,0.2852214953146775,3,5,0
1,xgb,0.546875,0.24438682708563678,0.332810554704592,3,5,0
2,glmnet,0.6520833333333333,0.2168244982846576,1.0285984057926383,3,5,0
2,rf,0.4583333333333333,0.23647254225574593,0.4075629887442467,3,5,0
2,xgb,0.515625,0.24645489545671798,0.10380066207271861,3,5,0
3,glmnet,0.5302083333333334,0.23757774031957696,0.3286397349653447,3,5,0
3,rf,0.5375,0.24647004773062126,0.17422125537736038,3,5,0
3,xgb,0.5645833333333333,0.2594989179677648,0.11660009270904162,3,5,0
4,glmnet,0.595108695652174,0.22585642748163479,1.9899408843048483,3,5,0
4,rf,0.5934782608695652,0.2238589814551774,0.745067520612448,3,5,0
4,xgb,0.7,0.20790820906521218,1.0511711710274412,3,5,0
5,glmnet,0.603125,0.23331376939269555,0.5128955390582597,3,5,0
5,rf,0.5864583333333333,0.23598646326730674,0.4953581422781467,3,5,0
5,xgb,0.6447916666666667,0.22916125850245297,0.6247491399461248,3,5,0
1,glmnet,0.683111954459203,0.22561343731043987,1.1560636644364122,3,5,-5
1,rf,0.659392789373814,0.22945917791152542,1.1157391398914709,3,5,-5
1,xgb,0.6679316888045541,0.23317841768589456,0.8329427388932718,3,5,-5
2,glmnet,0.4810246679316888,0.2662224710960105,0.2339773498825368,3,5,-5
2,rf,0.4962049335863377,0.27282947018825965,-0.12968862381007817,3,5,-5
2,xgb,0.540796963946869,0.27043029376762884,0.07181609636768048,3,5,-5
3,glmnet,0.6515151515151515,0.23534833619729487,0.6490568594649907,3,5,-5
3,rf,0.5404040404040404,0.25794997054202923,0.21382799663553448,3,5,-5
3,xgb,0.5282828282828282,0.2702184744059004,0.08196768993163105,3,5,-5
4,glmnet,0.5888888888888889,0.24481328146947534,0.6219870349735287,3,5,-5
4,rf,0.5222222222222223,0.26713657934307156,0.10301377132434213,3,5,-5
4,xgb,0.5121212121212121,0.2779836508408444,0.06800508664933254,3,5,-5
5,glmnet,0.5606060606060607,0.2564744950339056,0.34712504469211275,3,5,-5
5,rf,0.5565656565656566,0.25806420412436704,0.21527728718780434,3,5,-5
5,xgb,0.5979797979797981,0.2526787455500596,0.3588892175264984,3,5,-5
1,glmnet,0.5804655870445344,0.23576010222348168,1.6081569236357949,3,5,-7
1,rf,0.6751012145748988,0.22403390152806554,1.0346540395714428,3,5,-7
1,xgb,0.6467611336032388,0.2372525653307656,0.5394940778605793,3,5,-7
2,glmnet,0.5860323886639676,0.2501130013985893,0.20130979050865663,3,5,-7
2,rf,0.4686234817813765,0.25035046818497764,0.23564563505532743,3,5,-7
2,xgb,0.5688259109311741,0.24773111698596179,0.37678270698777605,3,5,-7
3,glmnet,0.5815815815815816,0.2402711915452688,0.6833218661146284,3,5,-7
3,rf,0.5115115115115115,0.2576691501376996,0.13554160494399453,3,5,-7
3,xgb,0.5325325325325325,0.2745327780103945,-0.11382218304672233,3,5,-7
4,glmnet,0.577962577962578,0.2400652614274002,0.5929332510204631,3,5,-7
4,rf,0.5810810810810811,0.2811248059544399,-0.5602527631792348,3,5,-7
4,xgb,0.6008316008316008,0.297903040161943,-0.5503093623877338,3,5,-7
5,glmnet,0.5880566801619433,0.23089390915455021,1.091684801907733,3,5,-7
5,rf,0.5526315789473685,0.25001419781218753,0.19779969952747697,3,5,-7
5,xgb,0.5657894736842105,0.24460553044956515,0.3951046405205763,3,5,-7
1,glmnet,0.6707317073170732,0.21087941299022106,0.948330052708882,3,5,-10
1,rf,0.5953436807095344,0.2222558860124504,0.682158798741344,3,5,-10
1,xgb,0.6374722838137472,0.22046360437364898,0.7352955778713939,3,5,-10
2,glmnet,0.6200828157349897,0.21339793194856355,0.8550194682137361,3,5,-10
2,rf,0.6200828157349897,0.2226333207730013,0.5952440689293296,3,5,-10
2,xgb,0.5973084886128365,0.23415069825252655,0.3944332539353212,3,5,-10
3,glmnet,0.6651884700665188,0.2139371982372311,1.473183455173455,3,5,-10
3,rf,0.6119733924611973,0.22273893988367674,0.6853519382169474,3,5,-10
3,xgb,0.58980044345898,0.22619230936223741,0.47257925801161865,3,5,-10
