"Threshold","Split","Model","AUC","Brier","Slope","Events","n_test"
-5,20,"glmnet",0.583333333333333,0.192586011402695,0.341668098724867,6,28
-5,20,"rf",0.636363636363636,0.17260596020709,0.765200594579407,6,28
-5,20,"xgb",0.666666666666667,0.20289102023756,0.28962485935083,6,28
-7,1,"glmnet",0.508771929824561,0.239618393935394,-0.0170437498276294,9,28
-7,1,"rf",0.578947368421053,0.222271234644357,0.382831128872843,9,28
-7,1,"xgb",0.637426900584795,0.230787763389753,0.290451271627741,9,28
-7,2,"glmnet",0.627777777777778,0.230613054917485,0.239304433545836,10,28
-7,2,"rf",0.452777777777778,0.248068383809524,0.490020442840581,10,28
-7,2,"xgb",0.75,0.220693555739763,1.0146070966428,10,28
-7,3,"glmnet",0.479166666666667,0.14107923345056,0.00161505546547814,4,28
-7,3,"rf",0.71875,0.11575124234217,1.75857568581687,4,28
-7,3,"xgb",0.802083333333333,0.145247103685275,0.443066593500268,4,28
-7,4,"glmnet",0.773333333333333,0.109192557588131,0.830698472325644,3,28
-7,4,"rf",0.48,0.125244877409879,0.0559776956577894,3,28
-7,4,"xgb",0.586666666666667,0.170980724277618,0.0904052290919781,3,28
-7,5,"glmnet",1,0.108443295257521,42.0410234535738,1,28
-7,5,"rf",0.851851851851852,0.115511250102129,1.67594694512342,1,28
-7,5,"xgb",0.962962962962963,0.139882994369569,1.03835555848832,1,28
-7,6,"glmnet",0.65625,0.189378464269353,0.163016762639556,8,28
-7,6,"rf",0.63125,0.196107349206349,0.672587567210966,8,28
-7,6,"xgb",0.59375,0.187886891858233,0.36588563639059,8,28
-7,7,"glmnet",0.51304347826087,0.182366951301992,0.214320373793227,5,28
-7,7,"rf",0.630434782608696,0.163513428571429,0.813071596617352,5,28
-7,7,"xgb",0.695652173913043,0.204421790620609,0.168778969353901,5,28
-7,8,"glmnet",0.565217391304348,0.155311577960069,0.208576857702416,5,28
-7,8,"rf",0.4,0.167805287658406,-0.672574590922473,5,28
-7,8,"xgb",0.452173913043478,0.164666037946807,0.188613743453289,5,28
-7,9,"glmnet",0.628787878787879,0.169413930815467,0.0583052450227258,6,28
-7,9,"rf",0.659090909090909,0.166962703801425,0.585728887459613,6,28
-7,9,"xgb",0.522727272727273,0.249661782707506,-0.0325198360706602,6,28
-7,10,"glmnet",0.625850340136054,0.198222223396648,-1.24420726023221,7,28
-7,10,"rf",0.547619047619048,0.221989285714286,-0.0789828102544361,7,28
-7,10,"xgb",0.707482993197279,0.233223254973125,-0.263570648870993,7,28
-7,11,"glmnet",0.583333333333333,0.181942013465131,0.109962549820841,6,28
-7,11,"rf",0.628787878787879,0.158057139310713,1.15360226996376,6,28
-7,11,"xgb",0.598484848484849,0.172754915617933,0.351537259310639,6,28
-7,12,"glmnet",0.681818181818182,0.188282190074008,0.330767029270103,6,28
-7,12,"rf",0.477272727272727,0.204950857142857,-0.161446548149852,6,28
-7,12,"xgb",0.590909090909091,0.208727282711395,0.14944017750473,6,28
-7,13,"glmnet",0.659090909090909,0.165349784135755,0.544399063593795,6,28
-7,13,"rf",0.553030303030303,0.176929132439045,0.105147117609181,6,28
-7,13,"xgb",0.484848484848485,0.19886368604645,0.0144701916578792,6,28
-7,14,"glmnet",0.78125,0.178931842049895,0.358286250922322,8,28
-7,14,"rf",0.66875,0.197398470232459,0.691438570700815,8,28
-7,14,"xgb",0.725,0.222671152964968,0.216012147381404,8,28
-7,15,"glmnet",0.588888888888889,0.257933024729303,0.0767654084568174,10,28
-7,15,"rf",0.516666666666667,0.254778783955266,0.264932335593206,10,28
-7,15,"xgb",0.55,0.281801028086676,0.0632164966173956,10,28
-7,16,"glmnet",0.508771929824561,0.265236722261914,-0.0902081970777346,9,28
-7,16,"rf",0.584795321637427,0.237737111984127,0.243738047813146,9,28
-7,16,"xgb",0.654970760233918,0.249646257848805,0.372955967782556,9,28
-7,17,"glmnet",0.613636363636364,0.16374465673183,0.0638084642586854,6,28
-7,17,"rf",0.575757575757576,0.203548772547983,-0.074979931562982,6,28
-7,17,"xgb",0.666666666666667,0.282529324136792,-0.159697637887249,6,28
-7,18,"glmnet",0.697916666666667,0.143837342300415,1.34511821893854,4,28
-7,18,"rf",0.46875,0.162247571428571,0.146293850089925,4,28
